city,entropy,rel_entropy,circuity,avg_degree,intersection_count
"Yuma, AZ, USA",2.752963673,0.613224843,1.040296532,5.71064873,27466
"Little Rock, AR, USA",3.160282549,0.348386331,1.089715642,5.059038683,19224
"Rīga, Latvia",3.580085425,0.003558771,1.068220001,4.911633625,10303
"Jacksonville, FL, USA",3.289537501,0.249989233,1.082139643,4.888207644,33627
"Hartford, CT, USA",3.524999997,0.052964647,1.086720759,5.071566248,56215
"New Haven, CT, USA",3.556534052,0.024835616,1.085291301,5.05424831,18304
"Stamford, CT, USA",3.529781476,0.048725945,1.089799635,4.934016555,9877
"Waterbury, CT, USA",3.50003157,0.074944987,1.083288474,5.05499653,8808
"New Britain, CT, USA",3.345374424,0.205343402,1.082319393,5.128658484,9301
"Meriden, CT, USA",3.365514698,0.188923001,1.094533209,5.094594595,1116
"Ann Arbor, MI, USA",3.179246168,0.334382936,1.074572156,5.037593985,8774
"Burnie TAS 7320, Australia",3.306739513,0.236372491,1.09790412,4.592572215,2618
"Launceston TAS, Australia",3.510279976,0.065954281,1.12205313,4.591943463,5140
"Hobart TAS, Australia",3.546726158,0.033628567,1.161146742,4.565668247,18077
"San Bernardino, CA, USA",2.873106663,0.542249463,1.068787951,5.048769641,40602
"Fort Wright, KY, USA",3.547566828,0.032876452,1.083399089,4.611164581,10053
"Davis, CA, USA",3.190639714,0.325897955,1.102277437,4.827586207,1510
